order_id,order_date,year,month,country,state,sales_channel,customer_age_group,customer_gender,product_category,sub_category,product_name,brand,order_quantity,unit_cost,unit_price,discount_pct,discount_amount,revenue,cost,profit,rating,quality_score,stock_status
ORD-00001,2025-10-16,2025,10,United States,California,Amazon,55+,Female,Accessories,Bottles,HydroBottle,Guardian,6,5,18.6,0,0.0,111.6,30,81.6,3.8,76,Low Stock
ORD-00002,2024-02-02,2024,2,United States,California,Retail Partner,55+,Female,Road Bikes,Endurance Road,EnduroRide 250,Velocity,2,590,924.41,0.15,277.32,1571.5,1180,391.5,3.7,84,In Stock
ORD-00003,2024-08-13,2024,8,Germany,Hamburg,Amazon,18-24,Female,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,2,420,702.45,0.2,280.98,1123.92,840,283.92,4.2,86,Low Stock
ORD-00004,2024-04-09,2024,4,United Kingdom,Scotland,Company Website,18-24,Other,Accessories,Lights,NightBeam Light Set,Apex,6,12,40.75,0,0.0,244.5,72,172.5,4.2,81,In Stock
ORD-00005,2024-10-27,2024,10,Australia,Queensland,Amazon,25-34,Male,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,5,280,519.76,0,0.0,2598.8,1400,1198.8,4.1,79,In Stock
ORD-00006,2025-01-24,2025,1,United Kingdom,Scotland,Company Website,18-24,Other,Accessories,Locks,SecureLock Pro,Guardian,7,18,48.91,0,0.0,342.37,126,216.37,4.2,85,In Stock
ORD-00007,2025-10-12,2025,10,Canada,British Columbia,Company Website,18-24,Male,Road Bikes,Performance Road,SpeedLine 300,Apex,4,640,984.11,0.1,393.64,3542.8,2560,982.8,4.7,89,In Stock
ORD-00008,2024-02-02,2024,2,United Kingdom,Scotland,Retail Partner,35-44,Male,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,1,310,586.72,0,0.0,586.72,310,276.72,3.8,82,In Stock
ORD-00009,2025-11-02,2025,11,Germany,Hesse,Company Website,55+,Female,Accessories,Locks,SecureLock Pro,Guardian,9,18,47.44,0.2,85.39,341.57,162,179.57,4.1,85,Low Stock
ORD-00010,2025-01-05,2025,1,Canada,British Columbia,Amazon,25-34,Other,Accessories,Helmets,SafeRide Helmet,Apex,9,22,61.85,0,0.0,556.65,198,358.65,4.0,88,Low Stock
ORD-00011,2025-03-08,2025,3,France,Ile-de-France,Amazon,18-24,Other,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,2,900,1618.16,0.15,485.45,2750.87,1800,950.87,3.9,93,Low Stock
ORD-00012,2025-07-03,2025,7,United Kingdom,Wales,Retail Partner,35-44,Other,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,1,280,502.25,0.05,25.11,477.14,280,197.14,3.8,79,In Stock
ORD-00013,2024-07-01,2024,7,France,Ile-de-France,Retail Partner,18-24,Other,Accessories,Locks,SecureLock Pro,Guardian,6,18,49.78,0.2,59.74,238.94,108,130.94,4.2,85,In Stock
ORD-00014,2024-11-27,2024,11,Germany,Bavaria,Amazon,18-24,Other,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,3,760,1148.08,0.15,516.64,2927.6,2280,647.6,4.7,91,Low Stock
ORD-00015,2025-05-12,2025,5,United States,Washington,Company Website,25-34,Other,Road Bikes,Performance Road,SpeedLine 300,Apex,2,640,1010.77,0.2,404.31,1617.23,1280,337.23,4.2,89,Low Stock
ORD-00016,2025-12-07,2025,12,Canada,Quebec,Amazon,25-34,Male,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,3,900,1509.42,0.2,905.65,3622.61,2700,922.61,4.5,93,In Stock
ORD-00017,2024-03-06,2024,3,United Kingdom,England,Amazon,18-24,Female,Accessories,Lights,NightBeam Light Set,Apex,10,12,40.03,0,0.0,400.3,120,280.3,4.4,81,In Stock
ORD-00018,2024-03-13,2024,3,France,Ile-de-France,Retail Partner,55+,Female,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,4,310,560.04,0,0.0,2240.16,1240,1000.16,4.0,82,In Stock
ORD-00019,2024-09-05,2024,9,Germany,Hesse,Amazon,18-24,Male,Road Bikes,Endurance Road,EnduroRide 250,Velocity,1,590,931.07,0,0.0,931.07,590,341.07,3.9,84,Low Stock
ORD-00020,2025-02-16,2025,2,Australia,Victoria,Company Website,25-34,Female,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,2,760,1168.7,0,0.0,2337.4,1520,817.4,4.7,91,In Stock
ORD-00021,2025-04-18,2025,4,Canada,Ontario,Amazon,25-34,Female,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,3,1200,1912.2,0,0.0,5736.6,3600,2136.6,5,95,Out of Stock
ORD-00022,2025-05-12,2025,5,Germany,Berlin,Company Website,45-54,Female,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,1,900,1497.9,0,0.0,1497.9,900,597.9,4.6,93,Out of Stock
ORD-00023,2025-03-09,2025,3,Australia,Queensland,Retail Partner,55+,Male,Accessories,Helmets,SafeRide Helmet,Apex,12,22,59.78,0.2,143.47,573.89,264,309.89,4.4,88,In Stock
ORD-00024,2024-11-17,2024,11,United States,California,Amazon,18-24,Other,Accessories,Lights,NightBeam Light Set,Apex,9,12,37.34,0.15,50.41,285.65,108,177.65,4.2,81,In Stock
ORD-00025,2024-03-10,2024,3,Australia,New South Wales,Retail Partner,55+,Other,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,1,900,1472.03,0.15,220.8,1251.23,900,351.23,4.3,93,In Stock
ORD-00026,2024-11-19,2024,11,United Kingdom,England,Company Website,45-54,Female,Accessories,Locks,SecureLock Pro,Guardian,7,18,49.07,0.2,68.7,274.79,126,148.79,3.9,85,In Stock
ORD-00027,2024-03-15,2024,3,United States,Florida,Amazon,25-34,Female,Accessories,Lights,NightBeam Light Set,Apex,11,12,37.42,0,0.0,411.62,132,279.62,4.0,81,Low Stock
ORD-00028,2024-10-18,2024,10,Canada,Alberta,Retail Partner,18-24,Other,Accessories,Helmets,SafeRide Helmet,Apex,6,22,63.6,0.15,57.24,324.36,132,192.36,4.5,88,Low Stock
ORD-00029,2025-07-21,2025,7,United Kingdom,Wales,Retail Partner,25-34,Other,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,2,760,1157.04,0.05,115.7,2198.38,1520,678.38,4.7,91,In Stock
ORD-00030,2024-12-17,2024,12,Canada,Quebec,Company Website,18-24,Male,Accessories,Helmets,SafeRide Helmet,Apex,9,22,56.76,0.1,51.08,459.76,198,261.76,4.5,88,In Stock
ORD-00031,2024-12-07,2024,12,Canada,Quebec,Amazon,55+,Male,Road Bikes,Performance Road,SpeedLine 300,Apex,4,640,1021.89,0.25,1021.89,3065.67,2560,505.67,4.9,89,In Stock
ORD-00032,2025-01-13,2025,1,France,Provence-Alpes-Cote d'Azur,Amazon,35-44,Male,Road Bikes,Performance Road,SpeedLine 300,Apex,4,640,954.48,0,0.0,3817.92,2560,1257.92,4.8,89,In Stock
ORD-00033,2025-11-29,2025,11,Canada,Ontario,Amazon,45-54,Male,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,5,280,534.1,0.15,400.57,2269.93,1400,869.93,3.9,79,Low Stock
ORD-00034,2024-07-02,2024,7,Australia,Victoria,Retail Partner,18-24,Female,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,3,900,1582.04,0.2,949.22,3796.9,2700,1096.9,4.7,93,In Stock
